Accession	Mann P	Student P	log2FC	c_median	a_median	a1	a2	a3	c1	c2	c3
P42338|PK3CB_HUMAN	0.08085559837005224	0.03576230879527142	-1.2286666631274894	12.195553286565007	10.966886623437517	10.693962071292656	10.966886623437517	11.0767248914279	12.292145311808508	12.195553286565007	11.321807489557791
Q9UIV1|CNOT7_HUMAN	1.0	0.7399562263977852	-0.0022138236971542824	10.222260946539988	10.220047122842834	10.343171943697387	10.220047122842834	10.186040121501987	10.305313824045433	10.222260946539988	10.152209599614558
Q53T59|H1BP3_HUMAN	1.0	0.9417584409863895	-0.21581135905483606	13.824571520994088	13.608760161939252	13.408136519221406	14.201291094624086	13.608760161939252	13.555165658495183	13.8990996130683	13.824571520994088
Q8WUH2|TGFA1_HUMAN	0.6625205835400574	0.682002522661662	-0.008644448725220855	12.478045436356865	12.469400987631644	12.352312884914815	12.469400987631644	12.57339459908572	12.601621242623951	12.478045436356865	12.424720895295675
Q9H307|PININ_HUMAN	0.08085559837005224	0.14956402945322325	-0.49920073372423346	14.655110733125177	14.155909999400944	14.155909999400944	14.266525928902023	12.550863097982127	14.799107067733647	14.655110733125177	14.513213167923315
P18077|RL35A_HUMAN	0.08085559837005224	0.05784792021537162	-0.25491135639403417	16.100222002642226	15.845310646248192	15.845310646248192	15.680046743590507	15.853167910890104	15.889858830253853	16.101783568205274	16.100222002642226
P13667|PDIA4_HUMAN	1.0	0.8247325128892099	-0.15815587918537943	12.572964941002814	12.414809061817435	12.21632653674829	12.414809061817435	13.126866976576864	12.332904618321836	12.572964941002814	12.644979589170966
Q9H3Z4|DNJC5_HUMAN	0.6625205835400574	0.6699668902432889	0.045119112802707306	13.62103391875648	13.666153031559187	13.314086542023922	13.666153031559187	14.128442071957519	13.62103391875648	13.639527082410824	13.519255259307938
Q96MI9|CBPC4_HUMAN	0.08085559837005224	0.31980147593659947	-0.6416972811288755	11.226117542216071	10.584420261087196	11.053745126170456	10.584420261087196	0.0	11.127865388044462	11.580644655846772	11.226117542216071
Q9NV79|PCMD2_HUMAN	0.08085559837005224	0.15876245284337215	-0.16964029032267014	10.0620669884944	9.89242669817173	9.916213430097114	9.89242669817173	9.107233660603141	10.391255298520615	10.0620669884944	9.985406501788892
A0A3B3ITG3|A0A3B3ITG3_HUMAN	1.0	0.6830811213365343	-0.07901378838452011	10.58240640446127	10.50339261607675	10.50339261607675	10.260858567633218	11.315055200799739	10.58240640446127	10.245140516702756	10.783374677001511
P63261|ACTG_HUMAN	1.0	0.767882759544124	0.020099529329161925	8.108983145194603	8.129082674523765	7.525893473490812	8.129082674523765	9.157256681984904	8.351521069014218	7.882530624804387	8.108983145194603
P01112|RASH_HUMAN	0.08085559837005224	0.11754772858227619	0.08191334885649759	11.854960885713709	11.936874234570206	11.934805638935032	12.190310413929172	11.936874234570206	11.871463662294115	11.58502906885399	11.854960885713709
P78406|RAE1L_HUMAN	0.6625205835400574	0.5735394765015881	-0.012461023034012086	13.851717277184086	13.839256254150074	13.613321456372057	13.87433072065389	13.839256254150074	14.105578153153285	13.851717277184086	13.653117692753433
Q96Q11|TRNT1_HUMAN	0.38273308888522595	0.5850786779553137	-0.18106984013964222	12.986943367674336	12.805873527534693	12.508113328138599	12.805873527534693	13.437788152250404	13.4655324796509	12.986943367674336	12.882220647727578
Q9H0N5|PHS2_HUMAN	0.6625205835400574	0.36462441221806446	-0.0034950765343442214	10.058316901511114	10.05482182497677	9.598587315110256	10.05482182497677	10.077971093593336	9.86421215008158	10.058316901511114	10.846389024574542
